,,TOTAUX,899.19
Date,Catégorie,Libellé,Poids_kg,Notes,,,,,,,,,,,,,,,,,,,,,Textile,,,,,,,,,,,,,,,,,,,,
,Vaisselle,Lot vaisselle,3.75,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,Lot vaisselle,1.68,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,Lot vaisselle,1.30,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,Lot vaisselle,1.15,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,Lot vaisselle,2.20,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,Lot vaisselle,5.20,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,Lot vaisselle,2.30,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,Lot vaisselle,2.60,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,Lot vaisselle,1.80,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,Lot vaisselle,2.80,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,Lot vaisselle,10.00,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,Lot vaisselle,0.50,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,Lot vaisselle,2.30,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,Lot vaisselle,1.30,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,Lot vaisselle,3.50,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,Lot vaisselle,2.80,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Déco,Lot Déco,1.00,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Déco,Lot Déco,2.00,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Déco,Lot Déco,3.54,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
